problem,pq_type,name,instance,threads,batch,status,returncode,time_s,processed_nodes,ignored_nodes
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,31.794876327,18467241,78032552
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,34.29587694,20152452,83177427
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,30.664594961,18182332,77079322
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,32.537229887,19260544,80434152
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,32.719711851,19280824,80525166
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,30.602744206,18131020,76926067
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,30.277201422,18009915,76551099
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,31.26573841,18108192,76871502
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,29.061163608,17999288,76523300
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,31.540078532,18452540,77974332
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,31.306548565,18373163,77723280
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,31.883233535,18451265,77979646
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,30.888655053,18317349,77498301
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,33.001659116,19491932,81180407
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,31.174484935,18072210,76721600
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,32.868589996,19478852,81115165
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,32.678004701,19372922,80891689
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,34.238562574,20348465,83918111
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,1,ok,0,31.91481604,18580273,78398550
