problem,pq_type,name,instance,threads,batch,status,returncode,time_s,processed_nodes,ignored_nodes
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,9.967235933,6073942,21755540
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,76.322771375,47568427,125868427
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,53.672781957,33402961,90670091
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,83.144954061,51105083,135547698
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,39.318505225,24401590,68133921
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,8.241073774,4789935,18209731
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,8.194536975,4805760,17762181
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,24.795672579,15361406,43394952
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,41.41196919,25905680,72784317
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,8.329219386,4906116,18676308
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,9.466728414,5585903,20397830
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,48.29583032,29321028,80273972
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,50.672844459,31769722,87125376
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,10.068687723,5950579,21257139
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,15.678702278,9531896,30645467
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,113.567181304,70463175,182872838
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,8.255798589,4793564,18259817
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,24.217648252,15627264,46360538
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,18.45212375,11189107,33110815
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,34.672992421,21264776,59854352
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,9.348014232,5510235,20794510
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,71.639314329,44755943,118516553
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,56.462765218,34805534,94341982
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,9.210132786,5456501,19589308
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,1,ok,0,7.863105384,4622688,17254762
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,26.060625989,25888150,74214739
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,55.378580236,57070200,150187442
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,35.627650361,35512623,98763325
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,38.497645531,38250200,107495610
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,14.025024503,12910827,43770374
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,11.68268208,10882429,34229637
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,58.941417134,59115948,157124238
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,41.253766994,41816134,111696611
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,50.23157339,51741264,136602721
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,10.923507032,10348112,32001712
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,62.013853599,62824396,164918948
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,9.02131349,8252061,27677059
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,56.681895318,57510483,153602069
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,47.064930699,48329663,128022506
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,5.880915255,5031060,19037257
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,52.449919338,54500451,143118458
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,57.705602211,59554701,157336932
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,43.448957999,43528878,121319856
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,8.249955152,7506800,25391548
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,11.250863511,10382613,33251078
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,45.82035302,46379303,124475038
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,5.868501387,5024420,18921616
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,17.391856117,16794240,50573627
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,46.482239037,46725489,124120826
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,4,ok,0,12.198732743,11249947,36120677
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,16,ok,0,39.732065177,79795528,209343568
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,16,ok,0,15.283018211,29445009,83081108
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,16,ok,0,5.49498516,9189396,32114831
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,16,ok,0,46.33795237,93450299,243655157
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,16,ok,0,12.89966973,24296323,71016708
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,16,ok,0,6.526244481,11339880,38962195
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,16,ok,0,3.662016858,6027111,22193297
Maximum Clique Problem,locked_stack,Globally locked Stack,brock400_4,512,16,ok,0,9.176973111,16991207,50571561
