problem,pq_type,name,instance,threads,batch,status,returncode,time_s,processed_nodes,ignored_nodes
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,34.362985893,22009329,31621581
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,11.946532558,7684971,12054468
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,46.419871737,29288291,41052166
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,22.950619137,14773336,22167905
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,47.370487463,30597313,43315858
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,25.640612844,15905915,23372244
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,44.186257935,28433687,39782557
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,31.384287363,19929672,29172867
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,4.171408144,2550128,4418693
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,19.717127299,12679638,19303528
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,12.068913936,7432924,11478683
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,15.576388385,9852173,14626022
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,10.164928669,6191393,9835733
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,10.818757034,6688151,10402395
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,43.354170335,27532163,39488863
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,23.38927218,14709927,22153590
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,17.491433805,11089146,16999312
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,10.097638948,6414489,9837242
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,6.423119368,3982181,6597247
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,15.464222584,9863678,14302812
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,43.011514906,28787412,40709898
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,48.483137662,30482368,42503279
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,17.612821805,11217931,17286786
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,24.102539716,15397949,22890038
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,1,ok,0,6.241584138,3759872,6322535
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,17.568322414,22776291,32681114
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,23.053328196,29677150,42347829
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,19.449354501,25136471,35606301
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,3.560420251,4196540,7024752
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,23.3480445,30029582,42704631
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,17.45793949,22292788,31889428
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,3.405982562,3935331,6613965
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,3.309916516,4009788,6654641
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,5.551639917,6886892,10926019
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,3.388368941,4028730,6305419
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,4.60050217,5648669,9078390
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,7.852902111,9706034,14912226
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,11.374655945,14423207,21390099
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,2.179989886,2433989,4239306
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,5.169886049,6374694,10264240
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,3.946220957,4674644,7697015
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,9.243377421,11424110,16988449
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,24.711243134,32126646,44711365
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,17.232835685,22691111,32508522
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,3.404855439,3912310,6574650
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,15.988429114,20986898,30262841
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,8.294160491,10476722,16138571
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,4.967938187,6200980,9603089
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,18.846331,26017814,36997656
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,4,ok,0,4.307349553,5324806,8193248
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,1.759585191,4309410,7081418
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,1.57125252,3635202,6090584
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,7.317349684,19998491,28903416
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,6.687886423,17839706,26181047
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,12.708643937,35551602,50176085
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,1.586174192,3780059,6323599
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,10.12106981,28884355,40508417
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,1.243727894,2754040,4698856
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,2.393165743,6247978,9570262
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,1.623849189,3773675,6286886
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,2.512701918,6373794,10012167
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,5.457908351,14909544,21933301
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,7.745548695,21921340,31276454
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,8.300416586,23560761,32878155
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,4.961539692,13149907,19560037
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,4.86947929,13214332,19313504
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,5.366458219,14076390,20798000
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,4.16526578,10913609,16663212
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,7.621213541,21432365,30922420
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,7.621556792,20474111,29368136
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,5.933150783,16053398,23968238
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,9.51664494,26052008,37244039
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,5.267996252,14010565,20865218
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,7.402099734,20654912,29511906
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,1.246214172,2856766,4796857
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,64,ok,0,0.993432185,5482333,8651975
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,64,ok,0,0.747596716,3589833,6043010
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,64,ok,0,1.037411957,5774842,9248867
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,64,ok,0,0.695396193,3224647,5439822
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,64,ok,0,2.354772925,14215908,21292579
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,64,ok,0,0.954096282,5396767,8764651
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,64,ok,0,1.337630298,7882230,12297553
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,64,ok,0,3.604786682,22358248,32031929
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,64,ok,0,3.995842706,25778433,36020077
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,64,ok,0,0.87663447,4717864,7731349
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,64,ok,0,0.711876267,3365844,5655907
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,64,ok,0,1.090578554,6063767,9825087
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,64,ok,0,3.649029433,23845035,33945703
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,64,ok,0,1.515922443,8720695,13338707
