problem,pq_type,name,instance,threads,batch,status,returncode,time_s,processed_nodes,ignored_nodes
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,16,ok,0,12.061011255,18289358,77346281
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,16,ok,0,12.86752568,18922590,79375412
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,16,ok,0,12.163802468,18220552,77121479
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,16,ok,0,13.21309992,19948091,82504404
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC1000_5,512,16,ok,0,13.026210716,19423030,80973893
Maximum Clique Problem,pmc,PMC,DSJC1000_5,512,,ok,0,1.969715918,,
Maximum Clique Problem,pmc,PMC,DSJC1000_5,512,,ok,0,1.960740663,,
Maximum Clique Problem,pmc,PMC,DSJC1000_5,512,,ok,0,1.964879639,,
Maximum Clique Problem,pmc,PMC,DSJC1000_5,512,,ok,0,1.964274319,,
Maximum Clique Problem,pmc,PMC,DSJC1000_5,512,,ok,0,1.973201564,,
Maximum Clique Problem,work_stealing,Simple work stealing,DSJC1000_5,512,16,ok,0,0.749585208,18835709,79050391
Maximum Clique Problem,work_stealing,Simple work stealing,DSJC1000_5,512,16,ok,0,0.746729094,18421360,77747766
Maximum Clique Problem,work_stealing,Simple work stealing,DSJC1000_5,512,16,ok,0,0.736827658,18438888,77817759
Maximum Clique Problem,work_stealing,Simple work stealing,DSJC1000_5,512,16,ok,0,0.733270041,18373178,77621082
Maximum Clique Problem,work_stealing,Simple work stealing,DSJC1000_5,512,16,ok,0,0.739864232,18374137,77617075
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.73249771,18227838,77119567
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.70245798,18083569,76670460
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.726968731,18255841,77204796
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.698928424,17987122,76359428
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.716415923,18040767,76524457
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.71416889,18100572,76717023
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.704068802,18094323,76693238
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.722290913,18500184,77988405
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.705108544,17995804,76387221
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.741952476,18369200,77559231
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.698659853,18019337,76460379
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.711270234,18608576,78317721
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.715779223,18025832,76475431
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.735305045,19271597,80416294
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.696875091,17997725,76388497
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.711824755,18116777,76772092
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.704121193,18031746,76500708
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.704724053,17971793,76309643
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.720678521,18560735,78167902
Maximum Clique Problem,multilifo,MultiLIFO,DSJC1000_5,512,16,ok,0,0.730454637,19198899,80212656
Maximum Clique Problem,treiber_stack,Treiber stack,DSJC1000_5,512,16,ok,0,26.679825693,18134694,76818975
Maximum Clique Problem,treiber_stack,Treiber stack,DSJC1000_5,512,16,ok,0,27.525784907,18861155,79068570
Maximum Clique Problem,treiber_stack,Treiber stack,DSJC1000_5,512,16,ok,0,26.195926846,18001169,76387897
Maximum Clique Problem,treiber_stack,Treiber stack,DSJC1000_5,512,16,ok,0,26.783201405,18356432,77525043
Maximum Clique Problem,treiber_stack,Treiber stack,DSJC1000_5,512,16,ok,0,29.871778631,20363520,83790669
Maximum Clique Problem,2d_stack,2D-stack,DSJC1000_5,512,16,ok,0,0.729826199,18215646,77085490
Maximum Clique Problem,2d_stack,2D-stack,DSJC1000_5,512,16,ok,0,0.728545192,18176252,76939181
Maximum Clique Problem,2d_stack,2D-stack,DSJC1000_5,512,16,ok,0,0.729860218,18322199,77388967
Maximum Clique Problem,2d_stack,2D-stack,DSJC1000_5,512,16,ok,0,0.727711218,18112340,76729742
Maximum Clique Problem,2d_stack,2D-stack,DSJC1000_5,512,16,ok,0,0.722904364,18307191,77359252
Maximum Clique Problem,locked_pq,Globally locked PQ,DSJC1000_5,512,16,ok,0,93.040290594,18237521,77500843
Maximum Clique Problem,locked_pq,Globally locked PQ,DSJC1000_5,512,16,ok,0,94.159508128,18236206,77501665
Maximum Clique Problem,locked_pq,Globally locked PQ,DSJC1000_5,512,16,ok,0,93.096688754,18240934,77513536
Maximum Clique Problem,locked_pq,Globally locked PQ,DSJC1000_5,512,16,ok,0,92.826275894,18231248,77478813
Maximum Clique Problem,locked_pq,Globally locked PQ,DSJC1000_5,512,16,ok,0,92.376745967,18227180,77462539
Maximum Clique Problem,pr,Linden,DSJC1000_5,512,16,ok,0,15.508167679,18239650,77459542
Maximum Clique Problem,pr,Linden,DSJC1000_5,512,16,ok,0,17.53951211,18116079,77068123
Maximum Clique Problem,pr,Linden,DSJC1000_5,512,16,ok,0,15.554265516,18272629,77572640
Maximum Clique Problem,pr,Linden,DSJC1000_5,512,16,ok,0,16.286768123,18189489,77286301
Maximum Clique Problem,pr,Linden,DSJC1000_5,512,16,ok,0,16.922297377,18115519,77071551
Maximum Clique Problem,mq_stick_swap,MultiQueue (stick swap),DSJC1000_5,512,16,ok,0,1.410742078,18136597,77139286
Maximum Clique Problem,mq_stick_swap,MultiQueue (stick swap),DSJC1000_5,512,16,ok,0,1.3835391,18160941,77229981
Maximum Clique Problem,mq_stick_swap,MultiQueue (stick swap),DSJC1000_5,512,16,ok,0,1.368988173,18105906,77023808
Maximum Clique Problem,mq_stick_swap,MultiQueue (stick swap),DSJC1000_5,512,16,ok,0,1.415874872,18178819,77297632
Maximum Clique Problem,mq_stick_swap,MultiQueue (stick swap),DSJC1000_5,512,16,ok,0,1.364452598,18156124,77212810
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC500_5,512,16,ok,0,0.345029829,338916,1200647
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC500_5,512,16,ok,0,0.378033562,358629,1256675
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC500_5,512,16,ok,0,0.389913011,337329,1196238
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC500_5,512,16,ok,0,0.410178051,361469,1264511
Maximum Clique Problem,locked_stack,Globally locked Stack,DSJC500_5,512,16,ok,0,0.406705173,352127,1238554
Maximum Clique Problem,pmc,PMC,DSJC500_5,512,,ok,0,0.111130797,,
Maximum Clique Problem,pmc,PMC,DSJC500_5,512,,ok,0,0.105912224,,
Maximum Clique Problem,pmc,PMC,DSJC500_5,512,,ok,0,0.108718531,,
