problem,pq_type,name,instance,threads,batch,status,returncode,time_s,processed_nodes,ignored_nodes
max_clique,pbs,PBS (SOTA),DSJC1000_5,512,,timeout,,1800,,
max_clique,pbs,PBS (SOTA),DSJC500_5,512,,timeout,,1800,,
max_clique,pbs,PBS (SOTA),MANN_a45,512,,timeout,,1800,,
max_clique,pbs,PBS (SOTA),brock400_1,512,,ok,0,4.2046,,
max_clique,pbs,PBS (SOTA),brock400_1,512,,ok,0,4.366,,
max_clique,pbs,PBS (SOTA),brock400_1,512,,ok,0,4.1313,,
max_clique,pbs,PBS (SOTA),brock400_1,512,,ok,0,4.1403,,
max_clique,pbs,PBS (SOTA),brock400_1,512,,ok,0,4.323,,
max_clique,pbs,PBS (SOTA),brock400_2,512,,ok,0,2.7382,,
max_clique,pbs,PBS (SOTA),brock400_2,512,,ok,0,2.4555,,
max_clique,pbs,PBS (SOTA),brock400_2,512,,ok,0,2.4511,,
max_clique,pbs,PBS (SOTA),brock400_2,512,,ok,0,2.3602,,
max_clique,pbs,PBS (SOTA),brock400_2,512,,ok,0,2.3948,,
max_clique,pbs,PBS (SOTA),brock400_3,512,,ok,0,6.5126,,
max_clique,pbs,PBS (SOTA),brock400_3,512,,ok,0,6.97,,
max_clique,pbs,PBS (SOTA),brock400_3,512,,ok,0,6.711,,
max_clique,pbs,PBS (SOTA),brock400_3,512,,ok,0,6.7342,,
max_clique,pbs,PBS (SOTA),brock400_3,512,,ok,0,6.4306,,
max_clique,pbs,PBS (SOTA),brock400_4,512,,ok,0,3.5346,,
max_clique,pbs,PBS (SOTA),brock400_4,512,,ok,0,3.4291,,
max_clique,pbs,PBS (SOTA),brock400_4,512,,ok,0,3.6041,,
max_clique,pbs,PBS (SOTA),brock400_4,512,,ok,0,3.6862,,
max_clique,pbs,PBS (SOTA),brock400_4,512,,ok,0,3.4735,,
max_clique,pbs,PBS (SOTA),gen200_p0.9_44,512,,ok,0,0.33,,
max_clique,pbs,PBS (SOTA),gen200_p0.9_44,512,,ok,0,0.3408,,
max_clique,pbs,PBS (SOTA),gen200_p0.9_44,512,,ok,0,0.3464,,
max_clique,pbs,PBS (SOTA),gen200_p0.9_44,512,,ok,0,0.3241,,
max_clique,pbs,PBS (SOTA),gen200_p0.9_44,512,,ok,0,0.373,,
max_clique,pbs,PBS (SOTA),p_hat1000-2,512,,timeout,,1800,,
max_clique,pbs,PBS (SOTA),p_hat1500-1,512,,timeout,,1800,,
max_clique,pbs,PBS (SOTA),p_hat300-3,512,,ok,0,0.357,,
max_clique,pbs,PBS (SOTA),p_hat300-3,512,,ok,0,0.3921,,
max_clique,pbs,PBS (SOTA),p_hat300-3,512,,ok,0,0.4275,,
max_clique,pbs,PBS (SOTA),p_hat300-3,512,,ok,0,0.3693,,
max_clique,pbs,PBS (SOTA),p_hat300-3,512,,ok,0,0.3691,,
max_clique,pbs,PBS (SOTA),p_hat500-3,512,,timeout,,1800,,
max_clique,pbs,PBS (SOTA),p_hat700-2,512,,timeout,,1800,,
max_clique,pbs,PBS (SOTA),p_hat700-3,512,,timeout,,1800,,
max_clique,pbs,PBS (SOTA),san1000,512,,timeout,,1800,,
max_clique,pbs,PBS (SOTA),san200_0.9_3,512,,ok,0,0.3371,,
max_clique,pbs,PBS (SOTA),san200_0.9_3,512,,ok,0,0.3305,,
max_clique,pbs,PBS (SOTA),san200_0.9_3,512,,ok,0,0.3315,,
max_clique,pbs,PBS (SOTA),san200_0.9_3,512,,ok,0,0.3407,,
max_clique,pbs,PBS (SOTA),san200_0.9_3,512,,ok,0,0.3349,,
max_clique,pbs,PBS (SOTA),san400_0.7_2,512,,ok,0,0.3662,,
max_clique,pbs,PBS (SOTA),san400_0.7_2,512,,ok,0,0.3513,,
max_clique,pbs,PBS (SOTA),san400_0.7_2,512,,ok,0,0.3524,,
max_clique,pbs,PBS (SOTA),san400_0.7_2,512,,ok,0,0.36,,
max_clique,pbs,PBS (SOTA),san400_0.7_2,512,,ok,0,0.3962,,
max_clique,pbs,PBS (SOTA),san400_0.7_3,512,,ok,0,0.3404,,
max_clique,pbs,PBS (SOTA),san400_0.7_3,512,,ok,0,0.3616,,
max_clique,pbs,PBS (SOTA),san400_0.7_3,512,,ok,0,0.3322,,
max_clique,pbs,PBS (SOTA),san400_0.7_3,512,,ok,0,0.3473,,
max_clique,pbs,PBS (SOTA),san400_0.7_3,512,,ok,0,0.3482,,
max_clique,pbs,PBS (SOTA),san400_0.9_1,512,,ok,0,0.4419,,
max_clique,pbs,PBS (SOTA),san400_0.9_1,512,,ok,0,0.456,,
max_clique,pbs,PBS (SOTA),san400_0.9_1,512,,ok,0,0.4375,,
max_clique,pbs,PBS (SOTA),san400_0.9_1,512,,ok,0,0.4517,,
max_clique,pbs,PBS (SOTA),san400_0.9_1,512,,ok,0,0.4585,,
max_clique,pbs,PBS (SOTA),sanr200_0.9,512,,ok,0,0.4433,,
max_clique,pbs,PBS (SOTA),sanr200_0.9,512,,ok,0,0.4384,,
max_clique,pbs,PBS (SOTA),sanr200_0.9,512,,ok,0,0.439,,
max_clique,pbs,PBS (SOTA),sanr200_0.9,512,,ok,0,0.4302,,
max_clique,pbs,PBS (SOTA),sanr200_0.9,512,,ok,0,0.4187,,
max_clique,pbs,PBS (SOTA),sanr400_0.7,512,,ok,0,2.3711,,
max_clique,pbs,PBS (SOTA),sanr400_0.7,512,,ok,0,1.7798,,
max_clique,pbs,PBS (SOTA),sanr400_0.7,512,,ok,0,1.9481,,
max_clique,pbs,PBS (SOTA),sanr400_0.7,512,,ok,0,1.8281,,
max_clique,pbs,PBS (SOTA),sanr400_0.7,512,,ok,0,1.812,,
