problem,pq_type,name,instance,threads,batch,status,returncode,time_s,processed_nodes,ignored_nodes
Maximum Clique Problem,seq_stack,Sequential Stack,C1000.9,1,,timeout,,600,,
Maximum Clique Problem,seq_stack,Sequential Stack,C125.9,1,,ok,0,0.989966736,192990,
Maximum Clique Problem,seq_stack,Sequential Stack,C2000.5,1,,timeout,,600,,
Maximum Clique Problem,seq_stack,Sequential Stack,C2000.9,1,,timeout,,600,,
Maximum Clique Problem,seq_stack,Sequential Stack,C250.9,1,,timeout,,600,,
Maximum Clique Problem,seq_stack,Sequential Stack,C4000.5,1,,timeout,,600,,
Maximum Clique Problem,seq_stack,Sequential Stack,C500.9,1,,timeout,,600,,
Maximum Clique Problem,seq_stack,Sequential Stack,DSJC1000_5,1,,ok,0,188.99449416,18010144,
Maximum Clique Problem,seq_stack,Sequential Stack,DSJC500_5,1,,ok,0,1.909115086,292723,
Maximum Clique Problem,seq_stack,Sequential Stack,MANN_a27,1,,timeout,,600,,
Maximum Clique Problem,seq_stack,Sequential Stack,MANN_a45,1,,timeout,,600,,
Maximum Clique Problem,seq_stack,Sequential Stack,MANN_a81,1,,timeout,,600,,
Maximum Clique Problem,seq_stack,Sequential Stack,MANN_a9,1,,ok,0,0.001705543,730,
Maximum Clique Problem,seq_stack,Sequential Stack,brock200_1,1,,ok,0,1.379226115,267556,
Maximum Clique Problem,seq_stack,Sequential Stack,brock200_2,1,,ok,0,0.00448341,917,
Maximum Clique Problem,seq_stack,Sequential Stack,brock200_3,1,,ok,0,0.039469974,8855,
Maximum Clique Problem,seq_stack,Sequential Stack,brock200_4,1,,ok,0,0.084887798,16778,
Maximum Clique Problem,seq_stack,Sequential Stack,brock400_1,1,,timeout,,600,,
Maximum Clique Problem,seq_stack,Sequential Stack,brock400_2,1,,ok,0,509.322860252,59870117,
Maximum Clique Problem,seq_stack,Sequential Stack,brock400_3,1,,ok,0,570.480023737,76459132,
Maximum Clique Problem,seq_stack,Sequential Stack,brock400_4,1,,ok,0,138.906251666,15337030,
Maximum Clique Problem,seq_stack,Sequential Stack,brock800_1,1,,timeout,,600,,
Maximum Clique Problem,seq_stack,Sequential Stack,brock800_2,1,,timeout,,600,,
