problem,pq_type,name,instance,threads,batch,stickiness,status,returncode,time_s,processed_nodes,ignored_nodes
knapsack,seq_stack,Sequential Stack,s069,1,,,ok,0,13.618755052,721182964,15550271
knapsack,locked_stack,Globally locked Stack,s069,1,16,,ok,0,15.023220755,721182964,15550265
knapsack,locked_stack,Globally locked Stack,s069,2,16,,ok,0,6.794403122,504101355,13481719
knapsack,locked_stack,Globally locked Stack,s069,4,16,,timeout,,1800,,
knapsack,locked_stack,Globally locked Stack,s069,8,16,,ok,0,23.605465608,741241455,15960898
knapsack,locked_stack,Globally locked Stack,s069,16,16,,timeout,,1800,,
knapsack,locked_stack,Globally locked Stack,s069,32,16,,timeout,,1800,,
knapsack,locked_stack,Globally locked Stack,s069,64,16,,ok,0,27.105991749,497765687,13845569
knapsack,locked_stack,Globally locked Stack,s069,128,16,,timeout,,1800,,
knapsack,locked_stack,Globally locked Stack,s069,256,16,,timeout,,1800,,
knapsack,locked_stack,Globally locked Stack,s069,512,16,,timeout,,1800,,
knapsack,work_stealing,Simple work stealing,s069,1,16,,ok,0,15.26530611,721182964,15550265
knapsack,work_stealing,Simple work stealing,s069,2,16,,ok,0,4.161822125,392954336,12261710
knapsack,work_stealing,Simple work stealing,s069,4,16,,ok,0,1.918923396,361365985,11773664
knapsack,work_stealing,Simple work stealing,s069,8,16,,ok,0,0.939261299,351566526,11619873
knapsack,work_stealing,Simple work stealing,s069,16,16,,ok,0,0.645347526,478090977,14583109
knapsack,work_stealing,Simple work stealing,s069,32,16,,ok,0,0.321367933,450370173,13089681
knapsack,work_stealing,Simple work stealing,s069,64,16,,ok,0,0.168468005,412507893,12472504
knapsack,work_stealing,Simple work stealing,s069,128,16,,ok,0,0.120586228,493927794,14339188
knapsack,work_stealing,Simple work stealing,s069,256,16,,ok,0,0.082968188,348074860,11068465
knapsack,work_stealing,Simple work stealing,s069,512,16,,ok,0,0.094882823,397403679,12089541
knapsack,multilifo,MultiLIFO,s069,1,16,,ok,0,14.124604773,721182964,15550265
knapsack,multilifo,MultiLIFO,s069,2,16,,ok,0,5.164256325,452104063,12415948
knapsack,multilifo,MultiLIFO,s069,4,16,,timeout,,1800,,
knapsack,multilifo,MultiLIFO,s069,8,16,,ok,0,1.035830238,309929354,10089113
knapsack,multilifo,MultiLIFO,s069,16,16,,timeout,,1800,,
knapsack,multilifo,MultiLIFO,s069,32,16,,ok,0,0.6304794,344133050,10648690
knapsack,multilifo,MultiLIFO,s069,64,16,,ok,0,0.384348105,368964110,11426857
knapsack,multilifo,MultiLIFO,s069,128,16,,ok,0,0.274534404,390314119,11858694
knapsack,multilifo,MultiLIFO,s069,256,16,,ok,0,0.160704495,340614566,10829801
knapsack,multilifo,MultiLIFO,s069,512,16,,ok,0,0.440150231,400300180,11637564
knapsack,treiber_stack,Treiber stack,s069,1,16,,ok,0,18.286161627,721182964,15550265
knapsack,treiber_stack,Treiber stack,s069,2,16,,ok,0,18.34326077,721182389,15550268
knapsack,treiber_stack,Treiber stack,s069,4,16,,ok,0,18.648631046,721181665,15550731
