problem,pq_type,name,instance,threads,batch,stickiness,status,returncode,time_s,processed_nodes,ignored_nodes
mdkp,seq_stack,Sequential Stack,mdkp9,1,,,ok,0,40.465082479,8731371,0
mdkp,seq_stack,Sequential Stack,mdkp9,1,,,ok,0,37.293802364,8731371,0
mdkp,seq_stack,Sequential Stack,mdkp9,1,,,ok,0,37.425563702,8731371,0
mdkp,seq_stack,Sequential Stack,mdkp9,1,,,ok,0,37.367835064,8731371,0
mdkp,seq_stack,Sequential Stack,mdkp9,1,,,ok,0,37.305766744,8731371,0
mdkp,locked_stack,Globally locked Stack,mdkp9,1,16,,ok,0,37.49513123,8731371,0
mdkp,locked_stack,Globally locked Stack,mdkp9,1,16,,ok,0,37.496539498,8731371,0
mdkp,locked_stack,Globally locked Stack,mdkp9,1,16,,ok,0,37.604509826,8731371,0
mdkp,locked_stack,Globally locked Stack,mdkp9,1,16,,ok,0,37.462480821,8731371,0
mdkp,locked_stack,Globally locked Stack,mdkp9,1,16,,ok,0,37.523331682,8731371,0
mdkp,locked_stack,Globally locked Stack,mdkp9,2,16,,ok,0,19.368233394,8850523,4
mdkp,locked_stack,Globally locked Stack,mdkp9,2,16,,ok,0,17.261510749,7883095,2
mdkp,locked_stack,Globally locked Stack,mdkp9,2,16,,ok,0,17.013889112,7762416,3
mdkp,locked_stack,Globally locked Stack,mdkp9,2,16,,ok,0,17.413530752,7941895,2
mdkp,locked_stack,Globally locked Stack,mdkp9,2,16,,ok,0,17.093350003,7750672,3
mdkp,locked_stack,Globally locked Stack,mdkp9,4,16,,ok,0,8.702899181,7792644,2
mdkp,locked_stack,Globally locked Stack,mdkp9,4,16,,ok,0,9.020122321,8109100,3
mdkp,locked_stack,Globally locked Stack,mdkp9,4,16,,ok,0,9.111797929,8194892,6
mdkp,locked_stack,Globally locked Stack,mdkp9,4,16,,ok,0,8.956639135,8057153,4
mdkp,locked_stack,Globally locked Stack,mdkp9,4,16,,ok,0,8.490360985,7614860,5
