problem,pq_type,name,instance,threads,batch,status,returncode,time_s,processed_nodes,ignored_nodes
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,1,,ok,0,72.570425456,76981458,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,1,,ok,0,72.599719856,76981458,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,1,,ok,0,72.585585806,76981458,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,1,,ok,0,72.594916997,76981458,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,1,,ok,0,72.556019422,76981458,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,2,,ok,0,36.364072183,77198053,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,2,,ok,0,36.391363309,77198829,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,2,,ok,0,36.360283927,77199501,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,2,,ok,0,36.351603872,77199799,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,2,,ok,0,36.36155152,77198574,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,4,,ok,0,18.309570337,77676597,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,4,,ok,0,18.297845704,77677945,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,4,,ok,0,18.253112079,77678310,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,4,,ok,0,18.381202186,77679181,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,4,,ok,0,18.277598548,77677195,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,8,,ok,0,9.221683105,78475427,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,8,,ok,0,9.211951969,78471857,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,8,,ok,0,9.204252112,78464603,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,8,,ok,0,9.217286823,78457872,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,8,,ok,0,9.20163234,78464264,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,16,,ok,0,4.587305074,77854960,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,16,,ok,0,4.589420099,77863220,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,16,,ok,0,4.587748094,77867589,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,16,,ok,0,4.584937938,77865207,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,16,,ok,0,4.591599074,77846791,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,32,,ok,0,2.322410982,78591016,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,32,,ok,0,2.314377563,78623051,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,32,,ok,0,2.316484388,78623002,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,32,,ok,0,2.325401119,78609665,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,32,,ok,0,2.316289457,78593857,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,64,,ok,0,1.150335964,76900935,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,64,,ok,0,1.148542091,76937264,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,64,,ok,0,1.14858743,76921903,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,64,,ok,0,1.148203,76927797,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,64,,ok,0,1.149159792,76938036,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,128,,ok,0,0.587315917,76936404,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,128,,ok,0,0.585514253,76969837,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,128,,ok,0,0.586011994,76961692,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,128,,ok,0,0.586842386,76957134,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,128,,ok,0,0.586790236,76969285,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,256,,ok,0,0.448157387,77076729,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,256,,ok,0,0.446365101,76981093,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,256,,ok,0,0.446708041,76965654,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,256,,ok,0,0.446563952,76981559,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,256,,ok,0,0.447038613,76973174,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,512,,ok,0,0.460884737,76995475,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,512,,ok,0,0.455120194,76989391,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,512,,ok,0,0.463938415,76992412,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,512,,ok,0,0.468862758,76988591,
Maximum Clique Problem,ciaranm,McCreesh,DSJC1000_5,512,,ok,0,0.471430683,76970695,
