problem,pq_type,name,instance,threads,batch,status,returncode,time_s,processed_nodes,ignored_nodes
Maximum Clique Problem,pbs,PBS,brock400_4,1,,ok,0,110.8742,,
Maximum Clique Problem,pbs,PBS,brock400_4,1,,ok,0,110.8802,,
Maximum Clique Problem,pbs,PBS,brock400_4,1,,ok,0,110.8551,,
Maximum Clique Problem,pbs,PBS,brock400_4,1,,ok,0,110.8591,,
Maximum Clique Problem,pbs,PBS,brock400_4,1,,ok,0,110.8199,,
Maximum Clique Problem,pbs,PBS,brock400_4,2,,ok,0,56.0753,,
Maximum Clique Problem,pbs,PBS,brock400_4,2,,ok,0,56.1118,,
Maximum Clique Problem,pbs,PBS,brock400_4,2,,ok,0,56.0804,,
Maximum Clique Problem,pbs,PBS,brock400_4,2,,ok,0,56.1638,,
Maximum Clique Problem,pbs,PBS,brock400_4,2,,ok,0,56.1131,,
Maximum Clique Problem,pbs,PBS,brock400_4,4,,ok,0,28.0109,,
Maximum Clique Problem,pbs,PBS,brock400_4,4,,ok,0,27.9885,,
Maximum Clique Problem,pbs,PBS,brock400_4,4,,ok,0,27.9945,,
Maximum Clique Problem,pbs,PBS,brock400_4,4,,ok,0,28.0102,,
Maximum Clique Problem,pbs,PBS,brock400_4,4,,ok,0,28.0244,,
Maximum Clique Problem,pbs,PBS,brock400_4,8,,ok,0,14.7039,,
Maximum Clique Problem,pbs,PBS,brock400_4,8,,ok,0,14.7154,,
Maximum Clique Problem,pbs,PBS,brock400_4,8,,ok,0,14.7178,,
Maximum Clique Problem,pbs,PBS,brock400_4,8,,ok,0,14.7046,,
Maximum Clique Problem,pbs,PBS,brock400_4,8,,ok,0,14.7097,,
Maximum Clique Problem,pbs,PBS,brock400_4,16,,ok,0,8.2668,,
Maximum Clique Problem,pbs,PBS,brock400_4,16,,ok,0,8.2587,,
Maximum Clique Problem,pbs,PBS,brock400_4,16,,ok,0,8.2712,,
Maximum Clique Problem,pbs,PBS,brock400_4,16,,ok,0,8.2721,,
Maximum Clique Problem,pbs,PBS,brock400_4,16,,ok,0,8.2617,,
Maximum Clique Problem,pbs,PBS,brock400_4,32,,ok,0,5.2236,,
Maximum Clique Problem,pbs,PBS,brock400_4,32,,ok,0,5.2206,,
Maximum Clique Problem,pbs,PBS,brock400_4,32,,ok,0,5.2233,,
Maximum Clique Problem,pbs,PBS,brock400_4,32,,ok,0,5.2338,,
Maximum Clique Problem,pbs,PBS,brock400_4,32,,ok,0,5.2261,,
Maximum Clique Problem,pbs,PBS,brock400_4,64,,ok,0,3.806,,
Maximum Clique Problem,pbs,PBS,brock400_4,64,,ok,0,3.8106,,
Maximum Clique Problem,pbs,PBS,brock400_4,64,,ok,0,3.8038,,
Maximum Clique Problem,pbs,PBS,brock400_4,64,,ok,0,3.7931,,
Maximum Clique Problem,pbs,PBS,brock400_4,64,,ok,0,3.8011,,
Maximum Clique Problem,pbs,PBS,brock400_4,128,,ok,0,3.264,,
Maximum Clique Problem,pbs,PBS,brock400_4,128,,ok,0,3.2661,,
Maximum Clique Problem,pbs,PBS,brock400_4,128,,ok,0,3.2634,,
Maximum Clique Problem,pbs,PBS,brock400_4,128,,ok,0,3.2694,,
Maximum Clique Problem,pbs,PBS,brock400_4,128,,ok,0,3.2662,,
Maximum Clique Problem,pbs,PBS,brock400_4,256,,ok,0,3.2998,,
Maximum Clique Problem,pbs,PBS,brock400_4,256,,ok,0,3.0819,,
Maximum Clique Problem,pbs,PBS,brock400_4,256,,ok,0,2.9844,,
Maximum Clique Problem,pbs,PBS,brock400_4,256,,ok,0,2.8934,,
Maximum Clique Problem,pbs,PBS,brock400_4,256,,ok,0,2.9844,,
Maximum Clique Problem,pbs,PBS,brock400_4,512,,ok,0,3.4505,,
Maximum Clique Problem,pbs,PBS,brock400_4,512,,ok,0,3.5413,,
Maximum Clique Problem,pbs,PBS,brock400_4,512,,ok,0,3.4658,,
Maximum Clique Problem,pbs,PBS,brock400_4,512,,ok,0,3.4744,,
Maximum Clique Problem,pbs,PBS,brock400_4,512,,ok,0,3.4414,,
