problem,pq_type,name,instance,threads,batch,status,returncode,time_s,processed_nodes,ignored_nodes
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,1,,ok,0,0.0233,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,1,,ok,0,0.0236,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,1,,ok,0,0.0232,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,1,,ok,0,0.0228,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,1,,ok,0,0.0228,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,2,,ok,0,0.0183,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,2,,ok,0,0.0184,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,2,,ok,0,0.0185,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,2,,ok,0,0.0184,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,2,,ok,0,0.0184,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,4,,ok,0,0.0166,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,4,,ok,0,0.0169,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,4,,ok,0,0.0168,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,4,,ok,0,0.0167,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,4,,ok,0,0.0169,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,8,,ok,0,0.0155,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,8,,ok,0,0.0155,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,8,,ok,0,0.0152,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,8,,ok,0,0.0154,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,8,,ok,0,0.0152,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,16,,ok,0,0.0193,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,16,,ok,0,0.0191,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,16,,ok,0,0.0189,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,16,,ok,0,0.0193,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,16,,ok,0,0.0196,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,32,,ok,0,0.0268,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,32,,ok,0,0.031,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,32,,ok,0,0.0259,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,32,,ok,0,0.0281,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,32,,ok,0,0.0258,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,64,,ok,0,0.0558,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,64,,ok,0,0.0552,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,64,,ok,0,0.0563,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,64,,ok,0,0.0574,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,64,,ok,0,0.0558,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,128,,ok,0,0.0929,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,128,,ok,0,0.0934,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,128,,ok,0,0.0925,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,128,,ok,0,0.0901,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,128,,ok,0,0.0921,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,256,,ok,0,0.1933,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,256,,ok,0,0.1911,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,256,,ok,0,0.1916,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,256,,ok,0,0.1674,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,256,,ok,0,0.1267,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,512,,ok,0,0.3191,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,512,,ok,0,0.3319,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,512,,ok,0,0.3172,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,512,,ok,0,0.3252,,
Maximum Clique Problem,pbs,PBS,gen200_p0.9_44,512,,ok,0,0.3349,,
