problem,pq_type,name,instance,threads,batch,status,returncode,time_s,processed_nodes,ignored_nodes
max_clique,seq_stack,Sequential Stack,DSJC1000_5,1,,ok,0,187.101512216,18010144,76403986
max_clique,seq_stack,Sequential Stack,DSJC1000_5,1,,ok,0,188.374613167,18010144,76403986
max_clique,seq_stack,Sequential Stack,DSJC1000_5,1,,ok,0,188.026559972,18010144,76403986
max_clique,seq_stack,Sequential Stack,DSJC1000_5,1,,ok,0,187.8735934,18010144,76403986
max_clique,seq_stack,Sequential Stack,DSJC1000_5,1,,ok,0,187.545571599,18010144,76403986
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,1,16,ok,0,182.251776027,18010144,76403949
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,1,16,ok,0,183.477052954,18010144,76403949
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,1,16,ok,0,182.82082791,18010144,76403949
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,1,16,ok,0,182.382484802,18010144,76403949
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,1,16,ok,0,184.256863833,18010144,76403949
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,2,16,ok,0,93.446810831,18010379,76404645
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,2,16,ok,0,93.938122788,18085018,76616593
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,2,16,ok,0,94.302593044,18146526,76837083
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,2,16,ok,0,93.576143808,18081683,76630793
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,2,16,ok,0,93.917703962,18010872,76406196
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,4,16,ok,0,47.612199279,18005604,76390031
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,4,16,ok,0,47.399466451,18004599,76387532
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,4,16,ok,0,47.347526157,18004174,76385832
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,4,16,ok,0,47.411209027,18003831,76384891
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,4,16,ok,0,47.656045283,18004076,76386032
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,8,16,ok,0,24.010777748,18020775,76438735
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,8,16,ok,0,23.852230869,17995443,76359732
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,8,16,ok,0,23.932296815,18027791,76460550
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,8,16,ok,0,23.878085246,18028620,76463339
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,8,16,ok,0,23.908020382,18027215,76460015
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,16,16,ok,0,13.847042771,18084221,76620815
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,16,16,ok,0,13.891019707,18037026,76486460
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,16,16,ok,0,13.896433589,18041132,76504089
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,16,16,ok,0,13.864836711,18074706,76606252
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,16,16,ok,0,13.847199581,18105463,76704031
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,32,16,ok,0,8.966244415,18000629,76378164
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,32,16,ok,0,9.214647881,18604725,78317245
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,32,16,ok,0,9.030670176,18177794,76935751
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,32,16,ok,0,9.075899066,18338934,77448137
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,32,16,ok,0,8.994337126,18034618,76482081
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,64,16,ok,0,7.947326476,19497629,81102998
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,64,16,ok,0,7.284781689,18099333,76705456
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,64,16,ok,0,7.796300914,19189299,80103818
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,64,16,ok,0,7.381446333,18008407,76401302
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,64,16,ok,0,7.493065853,18195715,76995607
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,128,16,ok,0,7.818280258,18699360,78645716
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,128,16,ok,0,7.605868614,18065912,76586353
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,128,16,ok,0,8.050224925,19036041,79647458
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,128,16,ok,0,7.596195232,18002713,76400370
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,128,16,ok,0,7.723094366,18362859,77561685
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,256,16,ok,0,8.954303823,18884089,79245844
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,256,16,ok,0,9.100385079,18326544,77459148
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,256,16,ok,0,8.753672475,18482831,77975475
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,256,16,ok,0,9.18602152,18341211,77502570
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,256,16,ok,0,9.116844896,18066818,76622066
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,512,16,ok,0,12.149229604,18101719,76748977
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,512,16,ok,0,12.245695188,18145174,76870147
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,512,16,ok,0,12.380317239,18379165,77641106
max_clique,locked_stack,Globally locked Stack,DSJC1000_5,512,16,ok,0,12.696741245,18898853,79290742
