problem,pq_type,name,instance,threads,batch,status,returncode,time_s,processed_nodes,ignored_nodes
Maximum Clique Problem,seq_stack,Sequential Stack,gen200_p0.9_44,1,,ok,0,194.194911562,27851287,38991487
Maximum Clique Problem,seq_stack,Sequential Stack,gen200_p0.9_44,1,,ok,0,187.972725328,27851287,38991487
Maximum Clique Problem,seq_stack,Sequential Stack,gen200_p0.9_44,1,,ok,0,193.6575713,27851287,38991487
Maximum Clique Problem,seq_stack,Sequential Stack,gen200_p0.9_44,1,,ok,0,187.836190634,27851287,38991487
Maximum Clique Problem,seq_stack,Sequential Stack,gen200_p0.9_44,1,,ok,0,187.247151689,27851287,38991487
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,1,16,ok,0,189.216566673,27851287,38991438
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,1,16,ok,0,194.906982982,27851287,38991438
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,1,16,ok,0,193.198185397,27851287,38991438
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,1,16,ok,0,192.609392335,27851287,38991438
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,1,16,ok,0,192.787083467,27851287,38991438
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,2,16,ok,0,133.350517782,38929852,53863013
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,2,16,ok,0,133.69971971,38969207,53908066
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,2,16,ok,0,134.447054843,38956764,53892686
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,2,16,ok,0,134.033028939,38969137,53906190
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,2,16,ok,0,135.188537011,38979172,53919533
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,4,16,ok,0,60.982353154,34899848,48567761
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,4,16,ok,0,70.741520568,39636940,54977063
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,4,16,ok,0,64.384396051,36069157,50326010
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,4,16,ok,0,62.543602467,35200061,48944014
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,4,16,ok,0,63.751813297,35537878,49375390
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,8,16,ok,0,23.024288413,25885068,35654555
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,8,16,ok,0,26.924812527,29317015,41475653
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,8,16,ok,0,39.328880076,45076082,61711807
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,8,16,ok,0,36.013468646,41114906,56325044
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,8,16,ok,0,34.160212751,38794701,53343087
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,16,16,ok,0,13.472455203,29444218,40843524
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,16,16,ok,0,13.439338905,28776051,40121299
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,16,16,ok,0,13.144898721,27898424,39130040
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,16,16,ok,0,17.157974267,38203669,51839670
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,16,16,ok,0,10.58495872,21927669,31095793
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,32,16,ok,0,6.344108209,24389178,34339083
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,32,16,ok,0,7.507582981,29077562,40502022
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,32,16,ok,0,6.349677301,24295046,34091558
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,32,16,ok,0,6.784044565,26014407,36456034
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,32,16,ok,0,7.656513181,29833938,41295880
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,64,16,ok,0,5.987105877,27555492,39162724
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,64,16,ok,0,5.809453642,27287452,38159645
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,64,16,ok,0,6.081093984,28225346,39472396
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,64,16,ok,0,0.787779628,3305567,5355980
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,64,16,ok,0,6.108584476,28736070,40103575
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,128,16,ok,0,0.939856026,3622959,6079009
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,128,16,ok,0,0.697820959,2589074,4423677
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,128,16,ok,0,1.101313144,4283519,6910249
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,128,16,ok,0,1.214542795,4726289,7269611
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,128,16,ok,0,0.702445999,2582110,4407648
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,256,16,ok,0,6.509984947,24461875,34717639
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,256,16,ok,0,5.761332436,21573646,31040450
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,256,16,ok,0,2.14025191,7785515,11690387
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,256,16,ok,0,1.36108204,4794010,7571407
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,256,16,ok,0,6.753792758,25952517,36657135
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,6.778738973,18909196,27455169
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,5.342304976,14182525,21483050
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,1.345262355,3044529,5174905
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,6.386792263,17580446,25788319
Maximum Clique Problem,locked_stack,Globally locked Stack,gen200_p0.9_44,512,16,ok,0,3.173106622,8134353,12532190
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,1,,ok,0,0.98265151,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,1,,ok,0,0.98243791,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,1,,ok,0,0.982754421,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,1,,ok,0,0.982838201,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,1,,ok,0,0.982060079,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,2,,ok,0,0.616187188,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,2,,ok,0,0.616692228,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,2,,ok,0,0.618026161,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,2,,ok,0,0.615710416,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,2,,ok,0,0.620360776,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,4,,ok,0,0.569641484,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,4,,ok,0,0.585222269,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,4,,ok,0,0.57221729,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,4,,ok,0,0.586902743,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,4,,ok,0,0.565300954,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,8,,ok,0,0.59003487,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,8,,ok,0,0.617589871,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,8,,ok,0,0.60847698,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,8,,ok,0,0.612298588,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,8,,ok,0,0.587587364,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,16,,ok,0,0.35130389,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,16,,ok,0,0.346094928,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,16,,ok,0,0.349619786,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,16,,ok,0,0.345357436,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,16,,ok,0,0.349371785,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,32,,ok,0,0.104633362,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,32,,ok,0,0.104822733,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,32,,ok,0,0.10349296,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,32,,ok,0,0.104096991,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,32,,ok,0,0.104307712,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,64,,ok,0,0.073617534,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,64,,ok,0,0.07202732,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,64,,ok,0,0.071647599,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,64,,ok,0,0.07210432,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,64,,ok,0,0.072305631,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,128,,ok,0,0.075012236,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,128,,ok,0,0.076938151,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,128,,ok,0,0.076071238,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,128,,ok,0,0.075975409,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,128,,ok,0,0.075210227,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,256,,ok,0,0.087299144,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,256,,ok,0,0.084572498,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,256,,ok,0,0.083023475,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,256,,ok,0,0.08107747,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,256,,ok,0,0.083747506,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,512,,ok,0,0.106001485,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,512,,ok,0,0.116404368,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,512,,ok,0,0.108838832,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,512,,ok,0,0.118707753,,
Maximum Clique Problem,pmc,PMC,gen200_p0.9_44,512,,ok,0,0.118248142,,
Maximum Clique Problem,work_stealing,Simple work stealing,gen200_p0.9_44,1,16,ok,0,193.23636003,27851287,38991438
Maximum Clique Problem,work_stealing,Simple work stealing,gen200_p0.9_44,1,16,ok,0,196.275015295,27851287,38991438
Maximum Clique Problem,work_stealing,Simple work stealing,gen200_p0.9_44,1,16,ok,0,195.991306167,27851287,38991438
Maximum Clique Problem,work_stealing,Simple work stealing,gen200_p0.9_44,1,16,ok,0,200.619835073,27851287,38991438
Maximum Clique Problem,work_stealing,Simple work stealing,gen200_p0.9_44,1,16,ok,0,198.054609726,27851287,38991438
Maximum Clique Problem,work_stealing,Simple work stealing,gen200_p0.9_44,2,16,ok,0,51.216862524,13636723,20002483
Maximum Clique Problem,work_stealing,Simple work stealing,gen200_p0.9_44,2,16,ok,0,51.533645714,13620121,19968126
Maximum Clique Problem,work_stealing,Simple work stealing,gen200_p0.9_44,2,16,ok,0,52.120344215,13751005,20159205
Maximum Clique Problem,work_stealing,Simple work stealing,gen200_p0.9_44,2,16,ok,0,51.430678147,13598397,19939825
Maximum Clique Problem,work_stealing,Simple work stealing,gen200_p0.9_44,2,16,ok,0,51.676137204,13712464,20106546
